Name;Year;Director;Actor1;Actor2;Actor3;Genre;ImagePath;Description
The Pianist;2002;Roman Polanski;Adrien Brody;Thomas Kretschmann;Frank Finlay;Biography;/images/movies/2000_2010/07_The Pianist.jpg;MUSIC WAS HIS PASSION. SURVIVAL WAS HIS MASTERPIECE. The true story of pianist Władysław Szpilman’s experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.;
The Departed;2006;Martin Scorsese;Leonardo DiCaprio;Matt Damon;Jack Nicholson;Crime;/images/movies/2000_2010/08_The Departed.jpg;COPS OR CRIMINALS. WHEN YOU’RE FACING A LOADED GUN, WHAT’S THE DIFFERENCE? To take down South Boston’s Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there’s a mole among them.;
Gladiator;2000;Ridley Scott;Russell Crowe;Joaquin Phoenix;Connie Nielsen;Action;/images/movies/2000_2010/09_Gladiator.jpg;WHAT WE DO IN LIFE ECHOES IN ETERNITY. After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome’s most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.;
Memento;2000;Christopher Nolan;Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mystery;/images/movies/2000_2010/10_Memento.jpg;SOME MEMORIES ARE BEST FORGOTTEN. Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife’s killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he’s going, or why.;
Inception;2010;Christopher Nolan;Leonardo DiCaprio;Joseph Gordon-Levitt;Elliot Page;Sci-Fi;/images/movies/2010_2020/01_Inception.jpgYOUR MIND IS THE SCENE OF THE CRIME. Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: “inception”, the implantation of another person’s idea into a target’s subconscious.;
Interstellar;2014;Christopher Nolan;Matthew McConaughey;Anne Hathaway;Jessica Chastain;Sci-Fi;/images/movies/2010_2020/02_Interstellar.jpg;MANKIND WAS BORN ON EARTH. IT WAS NEVER MEANT TO DIE HERE. The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;
Parasite;2019;Bong Joon Ho;Song Kang-ho;Lee Sun-kyun;Cho Yeo-jeong;Thriller;/images/movies/2010_2020/03_Parasite.jpg;ACT LIKE YOU OWN THE PLACE. All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.;
Whiplash;2014;Damien Chazelle;Miles Teller;J.K. Simmons;Melissa Benoist;Drama;/images/movies/2010_2020/04_Whiplash.jpg;THE ROAD TO GREATNESS CAN TAKE YOU TO THE EDGE. Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.;
The Intouchables;2011;Olivier Nakache;François Cluzet;Omar Sy;Anne Le Ny;Biography;/images/movies/2010_2020/05_The Intouchables.jpg;SOMETIMES YOU HAVE TO REACH INTO SOMEONE ELSE’S WORLD TO FIND OUT WHAT’S MISSING IN YOUR OWN. A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;
Spider-Man: Into the Spider-Verse;2018;Bob Persichetti;Shameik Moore;Jake Johnson;Hailee Steinfeld;Animation;/images/movies/2010_2020/06_Spider-Man- Into the Spider-Verse.jpg;MORE THAN ONE WEARS THE MASK. Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson “Kingpin” Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.;
Avengers: Endgame;2019;Anthony Russo;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Action;/images/movies/2010_2020/07_Avengers- Endgame.jpg;AVENGE THE FALLEN. After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos’ actions and restore order to the universe once and for all, no matter what consequences may be in store.;
Django Unchained;2012;Quentin Tarantino;Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Western;/images/movies/2010_2020/08_Django Unchained.jpg;LIFE, LIBERTY, AND THE PURSUIT OF VENGEANCE. With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;
Joker;2019;Todd Phillips;Joaquin Phoenix;Robert De Niro;Zazie Beetz;Crime;/images/movies/2010_2020/09_Joker.jpg;PUT ON A HAPPY FACE. During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.;
The Dark Knight Rises;2012;Christopher Nolan;Christian Bale;Tom Hardy;Anne Hathaway;Action;/images/movies/2010_2020/10_The Dark Knight Rises.jpg;THE LEGEND ENDS. Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent’s crimes to protect the late attorney’s reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham’s finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;
Dune: Part Two;2024;Denis Villeneuve;Timothée Chalamet;Zendaya;Rebecca Ferguson;Sci-Fi;/images/movies/2020_2025/01_Dune- Part Two.jpg;LONG LIVE THE FIGHTERS. Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.;
Spider-Man: Across the Spider-Verse;2023;Joaquim Dos Santos;Shameik Moore;Hailee Steinfeld;Brian Tyree Henry;Animation;/images/movies/2020_2025/02_Spider-Man- Across the Spider-Verse.jpg;IT’S HOW YOU WEAR THE MASK THAT MATTERS. After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.;
Oppenheimer;2023;Christopher Nolan;Cillian Murphy;Emily Blunt;Matt Damon;Biography;/images/movies/2020_2025/03_Oppenheimer.jpg;THE WORLD FOREVER CHANGES. The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.;
Top Gun: Maverick;2022;Joseph Kosinski;Tom Cruise;Miles Teller;Jennifer Connelly;Action;/images/movies/2020_2025/04_Top Gun- Maverick.jpg;FEEL THE NEED… THE NEED FOR SPEED. After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.;
The Father;2020;Florian Zeller;Anthony Hopkins;Olivia Colman;Mark Gatiss;Drama;/images/movies/2020_2025/05_The Father.jpg;A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.;
Godzilla Minus One;2023;Takashi Yamazaki;Ryunosuke Kamiki;Minami Hamabe;Yuki Yamada;Sci-Fi;/images/movies/2020_2025/06_Godzilla Minus One.jpg;LIVE AND FIGHT. SURVIVE AND RESIST. In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.;
Spider-Man: No Way Home;2021;Jon Watts;Tom Holland;Zendaya;Benedict Cumberbatch;Action;/images/movies/2020_2025/07_Spider-Man- No Way Home.jpg;THE MULTIVERSE UNLEASHED. Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.;
Poor Things;2023;Yorgos Lanthimos;Emma Stone;Mark Ruffalo;Willem Dafoe;Comedy;/images/movies/2020_2025/08_Poor Things.jpg;SHE’S NOTHING LIKE YOU’VE EVER SEEN. Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.;
Dune;2021;Denis Villeneuve;Timothée Chalamet;Rebecca Ferguson;Oscar Isaac;Sci-Fi;/images/movies/2020_2025/09_Dune.jpg;IT BEGINS. Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet’s exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity’s greatest potential-only those who can conquer their fear will survive.;
CODA;2021;Siân Heder;Emilia Jones;Marlee Matlin;Troy Kotsur;Drama;/images/movies/2020_2025/10_CODA.jpg;EVERY FAMILY HAS ITS OWN LANGUAGE. As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family’s fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.;
